Facility Name,Facility RRID,Institution Name,City,State,Country,Website,Services,Description
Benaroya Research Institute Human Immunophenotyping Core,RRID:SCR_026355,Benaroya Research Institute,Seattle,WA,United States,https://benaroyaresearch.org/our-research/core-labs/human-immunophenotyping-core,"Assay Development,Cell Culture,Cell Sorting,CyTOF,Cytokine Assays,ELISA,Experimental Design,FACS Cell Sorting,Flow Cytometric Analysis,Flow Cytometry,Flow Cytometry Data Analysis,High Dimensional Flow Cytometry Analysis,Immune Monitoring,Luminex Bead Based Cytokine Assays,Mass Cytometry,Multi-color Flow Cytometry,Research Design,Sample Preparation,Spectral Flow Cytometry,Training","The Human Immunophenotyping (HIP) core at the Benaroya Research Institute (BRI) provides access to cutting-edge technologies and services enabling study of human immune-mediated diseases.
 
 We offer expertise in human immunology along with innovative assays and state-of-the-art technology. We specialize in robust, high-parameter single-cell assays utilizing conventional, spectral, and mass cytometry (CyTOF), which can be paired with sophisticated genomic and bioninformatic analyses through our connections with other outstanding BRI cores. Other services include, but are not limited to,..."
Cell and Tissue Analysis Group,RRID:SCR_026327,Benaroya Research Institute,Seattle,WA,,https://www.benaroyaresearch.org/our-research/core-labs/cell-and-tissue-analysis-group,"Flow Cytometry,Histology,Microscopy","The Cell and Tissue Analysis (CATA) Group at the Benaroya Research Institute offers an extensive array of flow cytometry, imaging, and histology resources for both BRI investigators as well as external research entities.
 
 Spread over three floors at the BRI, the CATA Group strives to provide researchers with consistent and dependable access to cutting-edge technologies. With expertise in the fields of imaging, histology, and flow cytometry, we seek to not only offer the physical space and machines necessary to carry out your work but also critical support through the whole process, from..."
BIDMC - Small Animal Imaging Facility,RRID:SCR_026600,Beth Israel Deaconess Medical Center,Boston,MA,United States,https://www.bidmc.org/research/core-facilities/small-animal-imaging-core/longwood-small-animal-imaging-facility-saif,"Bioluminsecence Imaging,Blood Cell Count,Blood Chemistry,Clinical Imaging - Small Animal (luminescence/fluorescence)","At the Longwood Small Animal Imaging Facility (SAIF), our mission is to provide state-of-the-art small animal imaging services to researchers in the Longwood Medical Area of Harvard Medical School, as well as external academic and corporate researchers. To that end, we have designed a dynamic facility to provide multi-modality imaging, advanced data analysis, image fusion resources, custom chemistry, and a satellite animal facility for longitudinal studies."
BIDMC Biomarker and Metabolism Research Core,RRID:SCR_026518,Beth Israel Deaconess Medical Center,Boston,MA,United States,https://resuscitationscience.com/research/laboratory-research/,"Biomarker Analysis,Digital Microscopic Assays,Multiplexed Biomarker Assays,Real Time Cellular Metabolism Assays,Research Design","The Biomarker and Metabolism Research Core provides access to XFe 96 Extracellular Flux Analyzer, seahorse technology, as well as additional services that include technical advice in experimental design, data analysis and basic training. The Core also provides affordable access to high‑performance, electrochemiluminescence immunoassays using MESO QuickPlex SQ 120. This instrument provides unparalleled sensitivity and dynamic range, using low sample volume, and fast, well-organized results. You can perform multiplex biomarker and cytokine assays, test for immunogenicity or toxicity, or we..."
BIDMC Genomics Proteomics Core,RRID:SCR_025689,Beth Israel Deaconess Medical Center,Boston,MA,United States of America,https://www.bidmc.org/research/core-facilities/genomics-proteomics-corehttps://www.bidmc.org/research/core-facilities/genomics-proteomics-core,"Computational - Bioinformatics,Computational - Biostatistics,Consultation,Cytokine Assays,Data Analysis,Data Analysis And Interpretation,Data Visualization,Discovery Science,ELISA,Immunoassay,Pathway Interpretation,Proteomics,Proteomics Analysis,Sample Preparation,SomaScan Proteomics","The Center provides investigators access to comprehensive interdisciplinary, translational, and clinically-oriented facilities for high-sensitivity and high-throughput proteomics services. The Center has over 20 years of experience in precision medicine and proteomics biomarker discovery in tissue and biological fluids. We are the only service provider in the Boston are for the exciting and most comprehensive, highly multiplex 11,000-protein SomaScan v5.0 assay. We provide assistance in study design, experimental execution, data analysis, and systems biology, while also serving as a forum..."
BIDMC Mass Spectrometry Core,RRID:SCR_017735,Beth Israel Deaconess Medical Center,Boston,MA,United States of America,www.bidmcmassspec.org,"Biochemical Analysis,Computational - Bioinformatics,Data Analysis,Gel Chromatography,Lipidomics Profiling,Mass Spectrometry,Metabolomics,Metabolomics Platform,Protein Extraction/Purification,Protein Post-translational Modification (PTM) Identification,Proteomics,Sequencing - Capillary Sequencing,Sequencing - Protein Sequencing,Shared Instrumentation Oversight & Maintenance,Stable Isotope Tracing,Western Blot","ABOUT US: The mass spectrometry, metabolomics and proteomics core at Beth Israel Deaconess Medical Center was established in 2004 led by Dr. John Asara and continues to grow rapidly. We provide excellent proteomics, metabolomics and lipidomics services with low prices and fast turnaround times. We have cutting edge equipment operated at optimal sensitivity and work and publish with world class researchers. We also maintain an active internal cancer proteomics and metabolomics/lipidomics research program with collaborative efforts. Our expertise is in identifying and quantifying protein..."
BIDMC Preclinical MRI Core,RRID:SCR_009674,Beth Israel Deaconess Medical Center,Boston,MA,,https://www.bidmc.org/research/research-by-department/radiology/preclinical-mri-core,Magnetic Resonance Imaging (MRI),"The Preclinical MRI Core at Beth Israel Deaconess Medical Center provides state of the art imaging of anatomy and function for small animals including mice, rats, and amphibians. In addition, ex vivo samples from larger animals and patients can be imaged. The Core also provides consultation on protocol design and pilot data for new projects. Analysis services are available as well."
BIDMC-Electron Microscopy Core,RRID:SCR_009667,Beth Israel Deaconess Medical Center,Boston,MA,United States,https://research.bidmc.org/em-core,"Contrast Staining,Discussion Of Results (consultation) And Transfer Of Image Data Files (no Storage),Evaluation Of The Sample Using The JEOL 1400 Electron Microscope,High Pressure Freezing,Image Analysis,Negative Staining For TEM,Pre-experiment Consultation For Methods And For Proper Fixation Techniques,Receipt Of Samples (sometimes Assisting With Sample Collection) Followed By Grossing And Processing Of Tissues, Suspended Cells, Bacteria, Cultured Cells, Organoids, Exosomes,Review Of Sections For Tissue Orientation And Histopathology,Thin Sectioning, Production And Use Of Formvar- And Carbon-coated Grids","The BIDMC Electron Microscopy Core provides service for grossing, tissue processing, tissue embedding, thick and thin sectioning, staining grids, and taking images of samples in the electron microscope. Training is available to use the electron microscope independently. For tissue processing, we also have training or service for high pressure freezing, freeze substitution, and tissue embedding. The core also has the expertise to do Advanced 3-D Focused Ion Beam/Scanning Electron Microscopy and 3-D segmentation and analysis on cells or tissues."
BIDMC-Flow Cytometry Core and MassNano nanoparticle facility,RRID:SCR_012305,Beth Israel Deaconess Medical Center,Boston,MA,,https://research.bidmc.org/flow-cytometry-core/,"Confocal/ Super Resolution Microscope,Dynamic Light Scattering,Exosomes Characterisation,FACS Cell Sorting,Flow Cytometric Analysis,Flow Cytometry Data Analysis,Flow Cytometry Training ,Full Spectrum Flow Cytometry,High Dimensional Flow Cytometry Analysis,Imaging Flow Cytometry,Interferometry And Immunofluorescence,Microfluidic Pulse Sensing,NanoFACS,NanoFlow Cytometry Training Course,Nanosight Nanoparticle Analysis,Raman Spectroscopy,RNA Flow Cytometry,Single Particle Extracellular Vesicle Flow Cytometry,Spectral Flow Cytometry,UV-Vis Spectroscopy","Committed to meet all of the flow cytometry needs for the BIDMC and the external research community, the Flow Cytometry Core facility offers state of the art instrumentation for routine flow cytometry and cell sorting.
 
 It is continuously expanding with the newest software and machinery for both sorting and analysis, with the capability of up to 48 fluorescent parameters."
BIDMC-Histology Core,RRID:SCR_009669,Beth Israel Deaconess Medical Center,Boston,MA,United States,https://research.bidmc.org/histology-core,"Blank Slides Cut For Immunostaining And Passed-on (if Needed) To The Immunostaining Service ,Cassetting,Consultation For Pre-experiment Methods, Post-processing Orientation, And/or Special Staining,Grossing,Labeling Of Slides,Paraffin Or Frozen Block Sectioning,Processing Of Tissues, Cells, Or Organoids For Frozen Sectioning,Processing Of Tissues, Cells, Or Organoids For Paraffin Histology,Sample Receipt,Slides Are Boxed For Transport And Tissue Blocks Are Returned To The Investigator For Storage,Special Processing For Specialized Project Aims Or Histology Stains Are Available ,Staining With Histology Stains Or Special Stains, Including Alcian Blue, Masson Trichrome, Oil-Red-O, PAS, Sirius Red, Toluidine Blue, And Alcian Blue/PAS","The BIDMC Histology Core does routine paraffin and frozen sectioning on tissues for research purposes. We offer consultation services, and fee-for-service tissue grossing, processing, embedding, sectioning and staining. Special stains are also done routinely. Paraffin-embedded or frozen sections can be passed-on to a partner core, the BIDMC-Confocal and Immunostaining core, for DAB or fluorescence staining and analysis. No training or independent usage of the Histology core or its equipment is possible."
BIDMC-Immunostaining and Microscopy Core,RRID:SCR_012312,Beth Israel Deaconess Medical Center,Boston,MA,United States,https://research.bidmc.org/confocal-imaging-core,"Biological Photography/Photomicrography,Confocal Microscopy,Fluorescence TUNEL Staining-Paraffin Sections,Fluorescence-multi-label Using Paraffin Sections,Fluorescence-single Label Using Paraffin Sections,Immunoperoxidase (IPOX) Using Frozen Sections,IPOX-Paraffin Sections,Labeling Of Frozen Sections Using A Single Fluorescence Label,Labeling Of Frozen Sections Using Multiple Fluorescence Labels; ,Near Super-resolution Confocal Microscopy,Pre-antibody Testing/optimization With New Antibodies.,Pre-experiment Consultation And Consultation Prior To Antibody Purchase,Widefield Microscopy","The BIDMC Immunostaining and Microscopy Core offers consultation and service for tissue immunostaining with paraffin or frozen sections, and for training to use confocal and widefield microscopes. All service work and training is fee-for-service."
"Detection Unit, Precision RNA Medicine Core",RRID:SCR_024819,Beth Israel Deaconess Medical Center,Boston,MA,United States,https://noncodingrna.org/detection-unit/,"Biochemical Analysis,Consultation,Data Processing,Micro RNA Profiling","MicroRNA Screening
 
 Our unit offers full service microRNA screening of bio specimens using Mirxes ID3EAL assays. This highly sensitive qPCR-based technology can simultaneously screen for up to 376 microRNAs. 
 
 We offer the following panels:
 • ID3EAL™ PanoramiR Panel targets 376 miRNAs involved in signaling pathways or disease mechanism
 • ID3EAL™ Cancer Panel targets 352 miRNAs commonly studied in cancer"
Glycomics Core,RRID:SCR_024818,Beth Israel Deaconess Medical Center,Boston,MA,United States,https://www.bidmc.org/research/core-facilities/glycomics-core,"Glycolipid Analysis,Glycomics,Glycopeptide Mapping,Glycoproteomics,HPLC,Mass Spectrometry,Mass Spectrometry - Proteins And Peptides,Protocol Development","The Glycomics Core provides services, instrumentation and expertise in glycomics to BIDMC research groups, affiliated and non-affiliated institutions and corporate companies.
 
 The services proposed by the Glycomics Core includes:
 
 Glycan Microarrays
 Glycan analysis by Mass Spectrometry
 Distribution of specific reagents
 Trainings
 The work is done on a fee-for-service basis.
 
 The National Center for Functional Glycomics (NCFG) is an outgrowth of the high successful Consortium for Functional Glycomics (CFG) funded by the NIGMS/NIH from 2001 to 2014. The CFG generated two types of..."
Preclinical Murine Pharmacogenetics Facility,RRID:SCR_026599,Beth Israel Deaconess Medical Center,Boston,MA,,https://www.bidmc.org/research/core-facilities/preclinical-murine-pharmacogenetics-core,"Consultation,In Vivo Drug Evaluation,In-vivo Imaging,Xenograft / Xenotransplantation","The Core provides expertise in the design and implementation of preclinical trials to test new drugs, drug combinations and novel therapeutic modalities in mouse models of human diseases."
Translational MRI Research Core,RRID:SCR_017950,Beth Israel Deaconess Medical Center,Boston,MA,United States of America,https://research.bidmc.org/radiology-research,Magnetic Resonance Imaging (MRI),"The Translational MRI Core of the BIDMC Department of Radiology provides state-of-the-art MRI capabilities for imaging human subjects and potentially large animals as part of research studies. The facility operates a GE Discovery MR750 3T whole-body scanner completely dedicated to research.
 
 Located in the Ansin Building on BIDMC's East campus, the scanner is FDA cleared for clinical use. In addition to commercial tools for clinical imaging, it has proprietary software including pulse programming environments and reconstruction programs and customizable software and protocols for..."
Instrumentation Resource Facility,RRID:SCR_024955,Black Hills State University,Columbia,SC,United States,https://sc.edu/study/colleges_schools/medicine/research/research_facilities/instrumentation_resource_facility/index.php,"Analysis Workstations,Bioluminsecence Imaging,Brightfield Microscopy,Cell Culture,Cell Imaging,Clinical Imaging - Small Animal (luminescence/fluorescence),Clinical Imaging - Small Animal (X-ray, Ultrasound, microCAT, MRI),Confocal Microscopy,Digital PCR,Electron Microscopy,FACS Cell Sorting,Flow Cytometric Analysis,Flow Cytometry,H&E Staining,Histology,Image Aquisition,Immunofluorescence ,Immunohistochemistry,In-vivo Imaging,Laser Capture Microdissection,Lattice Lightsheet,Light-sheet Microscopy,Live Cell Imaging,Microarray,MicroCT,Microscopy,Molecular Imaging,Multiphoton Microscopy,Negative Staining For TEM,Optical Imaging,Paraffin Embedding,Plate Reader,Real-time qPCR,Scanning Electron Microscopy,Staining,Tissue Culture,Transmission Electron Microscopy,Ultrasonic Imaging","Mission: By providing state-of-the-art biomedical instrumentation, the IRF seeks to facilitate the expansion of scientific knowledge and discovery in the USC School of Medicine Columbia and main campus research environments. 
 
 Purpose: As an integral component of the research and teaching mission of the University of South Carolina School of Medicine, the IRF houses several major pieces of state-of-the-art biotechnological equipment that provide investigation ranging from single cell and molecular level analysis to whole animal imaging. Additionally, the IRF maintains a full range of..."
South Carolina College of Pharmacy Microarray Core Facility,RRID:SCR_022211,Black Hills State University,Columbia,SC,United States of America,https://www.sc.edu/study/colleges_schools/pharmacy/research_and_practice/research_centers_and_facilities/microarray_core_facility/index.php,"Computational - Bioinformatics,Data Analysis,Genomics,Microarray,Outreach,RNA analysis,RNA Integrity","Services Provided: The USC Microarray Core Facility (formerly the SCCC DNA Microarray Facility) can conduct RNA quality control, amplification and labeling; conduct array hybridization, scanning and data analysis, and assist customers in all aspects of the design and performance of microarray experiments, using Agilent (pre-made and custom) and Affymetrix arrays. In addition, the facility provides support for quantitation and quality assessment of DNA, RNA and protein on an Agilent 2100 Bioanalyzer.
 
 Hybridization 
 We provide extensive on site training and support for Agilent and..."
Biomedical Research Core Facility,RRID:SCR_026945,Boise State University,Boise,ID,,https://www.boisestate.edu/bri/biomolecular-research-core-facility/,"Budget Preparation,Core Facility Administration,Core Facility Rate Development,Data Visualization,Evaluation / Assessment,Grant Management,Grant Proposal Preparation,Grant Writing Workshops,ILab Software Support,Manuscript Preparation,Networking Opportunities,Professional Development Opportunities,Reporting ,Science Of Team Science Workshops,Social Network Analysis,Student Research Opportunities,Survey,Training","A collaborative and multidisciplinary research hub designed to provide a supportive environment for interdisciplinary research and education. The institute concentrates on supporting the careers and professional development of students, staff and researchers in biomolecular and biomedical research interests."
BSU-Biomolecular Research Center,RRID:SCR_019174,Boise State University,Boise,ID,United States of America,https://www.boisestate.edu/brc/home/,"Cell Imaging,Confocal Microscopy,Mass Spectrometry,Spectroscopy,Tissue Culture","The Biomolecular Research Center at Boise State is a collaborative research center designed to provide a supportive environment for interdisciplinary research and education with opportunities for students and faculty members alike. The focus of the BRC is the study of biomolecules with emphasis on proteins and protein interactions. The BRC represents a comprehensive collection of instrumentation and facilities ideal for the characterization of biomolecules and their role in a variety of biomedical and environmental processes. Partnerships exist between the Center and Idaho-BRIN/INBRE, UI,..."
Molecular Genetics Core Facility,RRID:SCR_025866,Boston Children's Hospital,Boston,MA,United States of America,https://www.childrenshospital.org/research/cores/molecular-genetics-core/contact-us,"BioBanking,Copy Number Variation (CNV),DNA Analysis,Droplet Digital PCR,Genomics,Genotyping,Mass Spectrometry,Microarray,Molecular Library Services,Nucleic Acid Extraction,Real-time qPCR,RNA analysis,RNA Integrity,Sequencing - Capillary Sequencing,Sequencing - DNA Sequencing,Sequencing - Next Generation Sequencing (NGS),Sequencing- Long Read Sequencing","The overall objective of the Molecular Genetics Core Facility is to provide high quality, low cost genomic technology services and expertise in a timely, affordable manner. Services offered include:
 
 Nanopore PromethION sequencing
 Electronic optical mapping on Nabsys
 Optical Genome mapping on Bionano Saphyr
 NGS (Illumina-based)
 Sanger Sequencing
 Single cell analysis/RNAseq
 Transcriptomic spatial profiling 
 Gene expression analysis 
 Droplet Digital PCR & qPCR
 Microsatellite/fragment analysis 
 SNP genotyping 
 Chromosomal microarray analysis
 Sample prep & QC
 Project..."
BU Microarray Resource,RRID:SCR_017782,Boston University,Boston,MA,United States of America,http://www.bumc.bu.edu/microarray/,"Genotyping,Library Services,Microarray","Currently, we provide analysis of gene expression using the Affymetrix GeneChip platform. Services using the Illumina platform will be available soon. For more information go to the services section of our website. For both platforms users of the facility provide us with high quality samples and the Microarray Resource does the rest. We also offer analysis of RNA, DNA and Proteins using Agilent Bioanalyzer.
 
 We offer the same services to researchers outside of Boston University on an available-resource basis.
 
 All interested researchers are encouraged to contact the Microarray Resource..."
Brandeis Electron Microscopy Facility- The Louise Mashal Gabbay Cellular Visualization Center,RRID:SCR_026272,Brandeis University,Waltham,MA,,https://www.brandeis.edu/science/resources/electron-microscope/index.html,"Cryo-Electron Microscopy,Cryo-Electron Tomography,Immuno Electron Microscopy,Transmission Electron Microscopy","The Brandeis EM facility offers wide variety of preparation and visualization ranging from standard 2D EM methods to high resolution 3D cryo-EM. 
 Instruments, training and assisted use are available for Brandeis faculty, staff, and lab members, as well as members of the broader scientific community, including other academic institutions and for-profit organizations."
DNA Sequencing Center,RRID:SCR_017781,Brigham Young University,Provo,UT,United States of America,DNASC.byu.edu,"Genomics,Genotyping,Long Read Sequencing,Molecular Library Services,Nucleic Acid Extraction,Real-time qPCR,RNA analysis,RNA Integrity,RNAseq,Sample Preparation,Sequencing - Capillary Sequencing,Sequencing - DNA Sequencing,Sequencing - Next Generation Sequencing (NGS)",Turn around time on the HiSeq 2500 is about 1 week. Turn around time on one of the two Sequel II runs is about 3 weeks. We are a Certified Service Provider for PacBio sequencing on the Sequel II instruments
Flow Cytometry and Sorting Facility,RRID:SCR_017886,Brown University,Providence,RI,United States of America,https://www.brown.edu/research/facilities/flow-cytometry-and-sorting/home,"Cell Sorting,Flow Cytometric Analysis","The purpose of this facility is to provide technical assistance to Brown researchers by performing flow cytometry-based analysis and sorting. The facility has a 4-laser, 19-parameter BD FACSAria III for flow and sorting applications."
LC/MS Proteomics Shared Resource Facility,RRID:SCR_017910,Brown University,Providence,RI,United States of America,https://www.brown.edu/research/facilities/proteomics/,"Mass Spectrometry,Proteomics","The LC/MS Proteomics Core Facility‘s (PCF) mission is to provide well-maintained, state-of-the-art instrumentation and fundamental proteomics expertise to the Brown University and Rhode Island scientific communities. We aim to be a focal point of intellectual activity in proteomics by enabling nationally recognized proteomics research within Rhode Island. We welcome inquiries from scientists and teachers seeking information regarding how we may assist them in furthering their research and educational goals. The facility‘s function is catalyzed by its Administrative Directors, Faculty..."
Rhode Island BioBank (RIBB),RRID:SCR_004289,Brown University,Providence,RI,United States of America,https://www.brown.edu/research/facilities/rhode-island-biobank/,BioBanking,"The Rhode Island Biobank is a state of the art cryogenic facility for human tissue and fluid samples located at Brown University in Providence, RI. It is a core facility under the management of the Division of Biology & Medicine and supports biomedical research on the Brown campus and across the affiliated hospitals of the Warren Alpert Medical School.
 
 The mission of the Rhode Island BioBank is to provide a secure, centralized biorepository and bioregistry for tissues and fluids that will be available for biomedical research by investigators at Brown University, local area hospitals and..."
Structural Biology Core Facility,RRID:SCR_017900,Brown University,Providence,RI,United States of America,https://www.brown.edu/research/facilities/structural-biology/,"Nuclear Magnetic Resonance (NMR),X-ray Diffraction and Scattering","The Structural Biology Core Facility at Brown University provides state-of-the art equipment for researchers at Brown University and the surrounding area. Our instruments can be used for structural modeling in crystals and in solution, using X-ray diffraction and scattering, as well as magnetic resonance."
The Leduc Bioimaging Facility,RRID:SCR_017861,Brown University,Providence,RI,United States of America,https://www.brown.edu/research/facilities/bioimaging/,"Confocal Microscopy,Electron Microscopy,Multiphoton Microscopy","The Leduc Bioimaging Facility, open to all investigators, provides equipment and training dedicated to high-resolution imaging in the life sciences. The facility includes a Transmission Electron Microscope, a Scanning Electron Microscope, two Fluorescence Microscopes, a Fluorescence Stereomicroscope, three Confocal Laser Scanning Microscopes, a Multiphoton Microscope, and software for image analysis. The facility also maintains equipment for sample preparation, including a critical point dryer, sputter coater, and microtomes for ultrathin sectioning."
Caltech Flow Cytometry Cell Sorting Facility,RRID:SCR_025087,California Institute of Technology,Pasadena,CA,United States,https://cellsort.caltech.edu,"Cell Sorting,Consultation,Experimental Design,Flow Cytometry,Flow Cytometry Data Analysis","Our facility offers two analyzers and three cell sorters as well as expertise in a large range of traditional (immunophenotyping) and non-traditional (small particle, geo-physical, etc) applications. 
 
 We are equipped for up to BSL-2+ cell sorting."
